id,first_name,last_name,full_name,sex,dob,nationality,club,competition_name,date_meet,event,category,heat_number,results,wind_factor,format
1,Hunter,Reid,Hunter Reid,Men,2013-01-15,Aelthoria,Eldrin Athletics Club,Local_5,2025-05-11,100m,U15,1,11.83,1.4,Time final
2,Logan,Surge,Logan Surge,Men,2013-05-08,Aelthoria,Vyrnwood Athletics Club,Local_5,2025-05-11,100m,U15,1,11.91,1.3,Time final
3,Gideon,Knox,Gideon Knox,Men,2013-10-05,Aelthoria,Lumora Athletics Club,Local_5,2025-05-11,100m,U15,1,12.01,1.5,Time final
4,Hayes,Jensen,Hayes Jensen,Men,2011-02-28,Aelthoria,Sylvara Athletics Club,Local_5,2025-05-11,100m,U15,1,12.15,1.4,Time final
5,Ashton,Wells,Ashton Wells,Men,2012-06-19,Aelthoria,Thalindra Athletics Club,Local_5,2025-05-11,100m,U15,1,12.27,1.3,Time final
6,Oliver,Reed,Oliver Reed,Men,2012-04-30,Aelthoria,Sylvara Athletics Club,Local_5,2025-05-11,100m,U15,1,12.32,1.5,Time final
7,Finn,Harper,Finn Harper,Men,2012-04-17,Aelthoria,Lumora Athletics Club,Local_5,2025-05-11,100m,U15,1,11.88,1.4,Time final
8,Lucas,Storm,Lucas Storm,Men,2011-11-05,Aelthoria,Sylvara Athletics Club,Local_5,2025-05-11,100m,U15,1,11.93,1.3,Time final
9,Chase,Morrow,Chase Morrow,Men,2013-08-14,Aelthoria,Vyrnwood Athletics Club,Local_5,2025-05-11,100m,U15,2,11.98,1.5,Time final
10,Owen,Xander,Owen Xander,Men,2011-07-13,Aelthoria,Eldrin Athletics Club,Local_5,2025-05-11,100m,U15,2,12.17,1.4,Time final
11,Sawyer,Dean,Sawyer Dean,Men,2014-02-15,Aelthoria,Vyrnwood Athletics Club,Local_5,2025-05-11,100m,U15,2,12.35,1.3,Time final
12,Ethan,Swift,Ethan Swift,Men,2012-06-22,Aelthoria,Sylvara Athletics Club,Local_5,2025-05-11,100m,U15,2,12.32,1.5,Time final
13,Max,Vaughn,Max Vaughn,Men,2012-02-24,Aelthoria,Sylvara Athletics Club,Local_5,2025-05-11,100m,U15,2,11.88,1.4,Time final
14,Liam,Frost,Liam Frost,Men,2011-03-15,Aelthoria,Eldrin Athletics Club,Local_5,2025-05-11,100m,U15,2,11.93,1.3,Time final
15,Ryder,Stone,Ryder Stone,Men,2014-03-02,Aelthoria,Eldrin Athletics Club,Local_5,2025-05-11,100m,U15,2,12.11,1.5,Time final
16,Brody,Lynch,Brody Lynch,Men,2012-01-09,Aelthoria,Lumora Athletics Club,Local_5,2025-05-11,100m,U15,2,12.17,1.4,Time final
