id,first_name,last_name,full_name,sex,dob,nationality,club,competition_name,date_meet,event,category,heat_number,results,wind_factor,format
1, Theo , Blake, Theo   Blake, Men, 2013-06-22 ,Aelthoria,Thalindra Athletics Club,Local_2,2025-02-05, 100m,U15,1,12.8,0.9,Timed final
2, Carter, Brooks , Carter  Brooks , Men, 2011-05-12 ,Aelthoria,Thalindra Athletics Club,Local_2,2025-02-05, 100m,U15,1,11.7,0.9,Timed final
3, Mason, Bolt, Mason  Bolt, Men, 2014-02-18 ,Aelthoria,Sylvara Athletics Club,Local_2,2025-02-05, 100m,U15,1,12.5,0.9,Timed final
4, Gage , Quinn, Gage   Quinn, Men, 2012-10-11 ,Aelthoria,Eldrin Athletics Club,Local_2,2025-02-05, 100m,U15,1,12.6,0.9,Timed final
5, James, Ridge, James  Ridge, Men, 2011-08-25 ,Aelthoria,Vyrnwood Athletics Club,Local_2,2025-02-05, 100m,U15,1,12.1,0.9,Timed final
6, Milo , Vance, Milo   Vance, Men, 2011-08-14 ,Aelthoria,Sylvara Athletics Club,Local_2,2025-02-05, 100m,U15,1,11.8,0.9,Timed final
7, Ryder, Stone, Ryder  Stone, Men, 2014-03-02 ,Aelthoria,Eldrin Athletics Club,Local_2,2025-02-05, 100m,U15,1,12.3,0.9,Timed final
8, Preston , York, Preston   York, Men, 2012-07-07 ,Aelthoria,Lumora Athletics Club,Local_2,2025-02-05, 100m,U15,1,12.1,0.9,Timed final
9, Rowan, Beck, Rowan  Beck, Men, 2011-06-30 ,Aelthoria,Sylvara Athletics Club,Local_2,2025-02-05, 100m,U15,2,12.4,1.1,Timed final
10, Wyatt, Cruz, Wyatt  Cruz, Men, 2011-01-31 ,Aelthoria,Sylvara Athletics Club,Local_2,2025-02-05, 100m,U15,2,13.1,1.1,Timed final
11, Aiden, Flash, Aiden  Flash, Men, 2012-10-12 ,Aelthoria,Sylvara Athletics Club,Local_2,2025-02-05, 100m,U15,2,12.5,1.1,Timed final
12, Kai, Sutton , Kai  Sutton , Men, 2011-12-16 ,Aelthoria,Eldrin Athletics Club,Local_2,2025-02-05, 100m,U15,2,12.9,1.1,Timed final
13, Bryce, Tate, Bryce  Tate, Men, 2011-09-10 ,Aelthoria,Lumora Athletics Club,Local_2,2025-02-05, 100m,U15,2,12.6,1.1,Timed final
14, Nolan, Wade, Nolan  Wade, Men, 2011-10-03 ,Aelthoria,Eldrin Athletics Club,Local_2,2025-02-05, 100m,U15,2,11.95,1.1,Timed final
15, Lucas, Storm, Lucas  Storm, Men, 2011-11-05 ,Aelthoria,Sylvara Athletics Club,Local_2,2025-02-05, 100m,U15,2,12.1,1.1,Timed final
16, Finn , Harper , Finn   Harper , Men, 2012-04-17 ,Aelthoria,Sylvara Athletics Club,Local_2,2025-02-05, 100m,U15,3,12.05,1.3,Timed final
17, Zane , Kelly, Zane   Kelly, Men, 2011-11-22 ,Aelthoria,Thalindra Athletics Club,Local_2,2025-02-05, 100m,U15,3,11.85,1.3,Timed final
18, Weston, Hart, Weston  Hart, Men, 2013-04-05 ,Aelthoria,Lumora Athletics Club,Local_2,2025-02-05, 100m,U15,3,12.85,1.3,Timed final
19, Liam , Frost, Liam   Frost, Men, 2011-03-15 ,Aelthoria,Eldrin Athletics Club,Local_2,2025-02-05, 100m,U15,3,12.1,1.3,Timed final
20, Oliver, Reed, Oliver  Reed, Men, 2012-04-30 ,Aelthoria,Sylvara Athletics Club,Local_2,2025-02-05, 100m,U15,3,12.5,1.3,Timed final
21, Hunter, Reid, Hunter  Reid, Men, 2013-01-15 ,Aelthoria,Lumora Athletics Club,Local_2,2025-02-05, 100m,U15,3,12,1.3,Timed final
22, Max, Vaughn , Max  Vaughn , Men, 2012-02-24 ,Aelthoria,Lumora Athletics Club,Local_2,2025-02-05, 100m,U15,3,12.05,1.3,Timed final
23, Logan, Surge, Logan  Surge, Men, 2013-05-08 ,Aelthoria,Vyrnwood Athletics Club,Local_2,2025-02-05, 100m,U15,3,12.1,1.3,Timed final
24,Drake,Johnson,Drake Johnson, Men, 2012-04-23,Aelthoria,Thalindra Athletics Club,Local_2,2025-02-05, 100m,U15,4,11.9,1.5,Timed final
25, Jack , Blaze, Jack   Blaze, Men, 2013-07-15 ,Aelthoria,Eldrin Athletics Club,Local_2,2025-02-05, 100m,U15,4,12.1,1.5,Timed final
26, Declan, Fox , Declan  Fox , Men, 2014-01-08 ,Aelthoria,Vyrnwood Athletics Club,Local_2,2025-02-05, 100m,U15,4,11.75,1.5,Timed final
27, Brody, Lynch, Brody  Lynch, Men, 2012-01-09 ,Aelthoria,Sylvara Athletics Club,Local_2,2025-02-05, 100m,U15,4,12,1.5,Timed final
28, Hayes, Jensen , Hayes  Jensen , Men, 2011-02-28 ,Aelthoria,Eldrin Athletics Club,Local_2,2025-02-05, 100m,U15,4,12.35,1.5,Timed final
29, Chase, Morrow , Chase  Morrow , Men, 2013-08-14 ,Aelthoria,Vyrnwood Athletics Club,Local_2,2025-02-05, 100m,U15,4,12.15,1.5,Timed final
30, Owen , Xander , Owen   Xander , Men, 2011-07-13 ,Aelthoria,Sylvara Athletics Club,Local_2,2025-02-05, 100m,U15,4,12.35,1.5,Timed final
31, Ethan, Swift, Ethan  Swift, Men, 2012-06-22 ,Aelthoria,Sylvara Athletics Club,Local_2,2025-02-05, 100m,U15,4,12.5,1.5,Timed final
