id,first_name,last_name,full_name,sex,dob,nationality,club,competition_name,date_meet,event,category,heat_number,results,wind_factor,format
1,Hunter,Reid,Hunter Reid,Male,2013-01-15,Aelthoria,Eldrin Athletics Club,Local_4,2025-04-14,100m,U15,1,12.01,-1.9,Timed final
2,Logan,Surge,Logan Surge,Male,2013-05-08,Aelthoria,Vyrnwood Athletics Club,Local_4,2025-04-14,100m,U15,1,12.09,-1.9,Timed final
3,Gideon,Knox,Gideon Knox,Male,2013-10-05,Aelthoria,Lumora Athletics Club,Local_4,2025-04-14,100m,U15,1,12.19,-1.9,Timed final
4,Hayes,Jensen,Hayes Jensen,Male,2011-02-28,Aelthoria,Sylvara Athletics Club,Local_4,2025-04-14,100m,U15,1,12.34,-1.9,Timed final
5,Ashton,Wells,Ashton Wells,Male,2012-06-19,Aelthoria,Thalindra Athletics Club,Local_4,2025-04-14,100m,U15,1,12.46,-1.9,Timed final
6,Oliver,Reed,Oliver Reed,Male,2012-04-30,Aelthoria,Sylvara Athletics Club,Local_4,2025-04-14,100m,U15,1,12.51,-1.9,Timed final
7,Finn,Harper,Finn Harper,Male,2012-04-17,Aelthoria,Lumora Athletics Club,Local_4,2025-04-14,100m,U15,2,12.06,-1.9,Timed final
8,Lucas,Storm,Lucas Storm,Male,2011-11-05,Aelthoria,Sylvara Athletics Club,Local_4,2025-04-14,100m,U15,2,12.11,-1.9,Timed final
9,Chase,Morrow,Chase Morrow,Male,2013-08-14,Aelthoria,Vyrnwood Athletics Club,Local_4,2025-04-14,100m,U15,2,12.16,-1.9,Timed final
10,Owen,Xander,Owen Xander,Male,2011-07-13,Aelthoria,Eldrin Athletics Club,Local_4,2025-04-14,100m,U15,2,12.36,-1.9,Timed final
11,Sawyer,Dean,Sawyer Dean,Male,2014-02-15,Aelthoria,Vyrnwood Athletics Club,Local_4,2025-04-14,100m,U15,2,12.54,-1.9,Timed final
12,Ethan,Swift,Ethan Swift,Male,2012-06-22,Aelthoria,Sylvara Athletics Club,Local_4,2025-04-14,100m,U15,2,12.51,-1.9,Timed final
13,Max,Vaughn,Max Vaughn,Male,2012-02-24,Aelthoria,Sylvara Athletics Club,Local_4,2025-04-14,100m,U15,3,12.06,-1.9,Timed final
14,Liam,Frost,Liam Frost,Male,2011-03-15,Aelthoria,Eldrin Athletics Club,Local_4,2025-04-14,100m,U15,3,12.11,-1.9,Timed final
15,Ryder,Stone,Ryder Stone,Male,2014-03-02,Aelthoria,Eldrin Athletics Club,Local_4,2025-04-14,100m,U15,3,12.29,-1.9,Timed final
