id,first_name,last_name,full_name,sex,dob,nationality,club,competition_name,date_meet,event,category,heat_number,results,wind_factor,format
1,Carter,Brooks,Carter Brooks,men,2011-05-12,Aelthoria,Eldrin Athletics Club,Local_3,2025-03-18,100m,U15,1,11.68,-1.5,Timed final
2,Milo,Vance,Milo Vance,men,2011-08-14,Aelthoria,Sylvara Athletics Club,Local_3,2025-03-18,100m,U15,1,12.15,-1.5,Timed final
3,Preston,York,Preston York,men,2012-07-07,Aelthoria,Sylvara Athletics Club,Local_3,2025-03-18,100m,U15,1,12.45,-1.5,Timed final
4,James,Ridge,James Ridge,men,2011-08-25,Aelthoria,Eldrin Athletics Club,Local_3,2025-03-18,100m,U15,1,12.08,-1.5,Timed final
5,Ryder,Stone,Ryder Stone,men,2014-03-02,Aelthoria,Eldrin Athletics Club,Local_3,2025-03-18,100m,U15,1,12.28,-1.5,Timed final
6,Gage,Quinn,Gage Quinn,men,2012-10-11,Aelthoria,Sylvara Athletics Club,Local_3,2025-03-18,100m,U15,1,12.58,-1.5,Timed final
7,Theo,Blake,Theo Blake,men,2013-06-22,Aelthoria,Eldrin Athletics Club,Local_3,2025-03-18,100m,U15,1,13.15,-1.5,Timed final
8,Mason,Bolt,Mason Bolt,men,2014-02-18,Aelthoria,Thalindra Athletics Club,Local_3,2025-03-18,100m,U15,1,12.13,-1.5,Timed final
9,Lucas,Storm,Lucas Storm,men,2011-11-05,Aelthoria,Eldrin Athletics Club,Local_3,2025-03-18,100m,U15,2,12.45,-1.8,Timed final
10,Rowan,Beck,Rowan Beck,men,2011-06-30,Aelthoria,Eldrin Athletics Club,Local_3,2025-03-18,100m,U15,2,12.38,-1.8,Timed final
11,Aiden,Flash,Aiden Flash,men,2012-10-12,Aelthoria,Thalindra Athletics Club,Local_3,2025-03-18,100m,U15,2,12.85,-1.8,Timed final
12,Bryce,Tate,Bryce Tate,men,2011-09-10,Aelthoria,Thalindra Athletics Club,Local_3,2025-03-18,100m,U15,2,12.24,-1.8,Timed final
13,Kai,Sutton,Kai Sutton,men,2011-12-16,Aelthoria,Lumora Athletics Club,Local_3,2025-03-18,100m,U15,2,13.25,-1.8,Timed final
14,Wyatt,Cruz,Wyatt Cruz,men,2011-01-31,Aelthoria,Eldrin Athletics Club,Local_3,2025-03-18,100m,U15,2,12.93,-1.8,Timed final
15,Nolan,Wade,Nolan Wade,men,2011-10-03,Aelthoria,Thalindra Athletics Club,Local_3,2025-03-18,100m,U15,2,11.93,-1.8,Timed final
16,Hunter,Reid,Hunter Reid,men,2013-01-15,Aelthoria,Eldrin Athletics Club,Local_3,2025-03-18,100m,U15,2,12.35,-1.8,Timed final
17,Liam,Frost,Liam Frost,men,2011-03-15,Aelthoria,Sylvara Athletics Club,Local_3,2025-03-18,100m,U15,3,12.45,-1.2,Timed final
18,Logan,Surge,Logan Surge,men,2013-05-08,Aelthoria,Vyrnwood Athletics Club,Local_3,2025-03-18,100m,U15,3,12.08,-1.2,Timed final
19,Oliver,Reed,Oliver Reed,men,2012-04-30,Aelthoria,Lumora Athletics Club,Local_3,2025-03-18,100m,U15,3,12.83,-1.2,Timed final
20,Zane,Kelly,Zane Kelly,men,2011-11-22,Aelthoria,Lumora Athletics Club,Local_3,2025-03-18,100m,U15,3,11.83,-1.2,Timed final
21,Finn,Harper,Finn Harper,men,2012-04-17,Aelthoria,Lumora Athletics Club,Local_3,2025-03-18,100m,U15,3,12.4,-1.2,Timed final
22,Max,Vaughn,Max Vaughn,men,2012-02-24,Aelthoria,Sylvara Athletics Club,Local_3,2025-03-18,100m,U15,3,12.38,-1.2,Timed final
23,Weston,Hart,Weston Hart,men,2013-04-05,Aelthoria,Lumora Athletics Club,Local_3,2025-03-18,100m,U15,3,13.2,-1.2,Timed final
24,Drake,Johnson,Drake Johnson,men,2012-04-23,Aelthoria,Thalindra Athletics Club,Local_3,2025-03-18,100m,U15,3,12.25,-1.2,Timed final
25,Brody,Lynch,Brody Lynch,men,2012-01-09,Aelthoria,Lumora Athletics Club,Local_3,2025-03-18,100m,U15,4,12.35,-1,Timed final
26,Jack,Blaze,Jack Blaze,men,2013-07-15,Aelthoria,Eldrin Athletics Club,Local_3,2025-03-18,100m,U15,4,12.45,-1,Timed final
27,Ethan,Swift,Ethan Swift,men,2012-06-22,Aelthoria,Lumora Athletics Club,Local_3,2025-03-18,100m,U15,4,12.85,-1,Timed final
28,Declan,Fox,Declan Fox,men,2014-01-08,Aelthoria,Eldrin Athletics Club,Local_3,2025-03-18,100m,U15,4,11.73,-1,Timed final
29,Chase,Morrow,Chase Morrow,men,2013-08-14,Aelthoria,Vyrnwood Athletics Club,Local_3,2025-03-18,100m,U15,4,12.5,-1,Timed final
30,Hayes,Jensen,Hayes Jensen,men,2011-02-28,Aelthoria,Sylvara Athletics Club,Local_3,2025-03-18,100m,U15,4,12.33,-1,Timed final
31,Owen,Xander,Owen Xander,men,2011-07-13,Aelthoria,Eldrin Athletics Club,Local_3,2025-03-18,100m,U15,4,12.7,-1,Timed final
32,Easton,Grey,Easton Grey,men,2011-12-14,Aelthoria,Vyrnwood Athletics Club,Local_3,2025-03-18,100m,U15,4,11.88,-1,Timed final
33,Levi,Tucker,Levi Tucker,men,2011-09-08,Aelthoria,Eldrin Athletics Club,Local_3,2025-03-18,100m,U15,5,11.88,-1.6,Timed final
34,Noah,Dash,Noah Dash,men,2013-09-10,Aelthoria,Lumora Athletics Club,Local_3,2025-03-18,100m,U15,5,12.45,-1.6,Timed final
35,Drew,Nolan,Drew Nolan,men,2011-03-27,Aelthoria,Eldrin Athletics Club,Local_3,2025-03-18,100m,U15,5,12.65,-1.6,Timed final
36,Henry,Gale,Henry Gale,men,2014-01-20,Aelthoria,Sylvara Athletics Club,Local_3,2025-03-18,100m,U15,5,12.85,-1.6,Timed final
37,Kaden,Ross,Kaden Ross,men,2012-11-11,Aelthoria,Vyrnwood Athletics Club,Local_3,2025-03-18,100m,U15,5,12.3,-1.6,Timed final
38,Silas,Zane,Silas Zane,men,2012-12-06,Aelthoria,Vyrnwood Athletics Club,Local_3,2025-03-18,100m,U15,5,13,-1.6,Timed final
39,Terry,Joe,Terry Joe,men,2011-09-27,Aelthoria,Sylvara Athletics Club,Local_3,2025-03-18,100m,U15,5,12.31,-1.6,Timed final
40,Grayson,Cole,Grayson Cole,men,2012-08-23,Aelthoria,Lumora Athletics Club,Local_3,2025-03-18,100m,U15,5,12.2,-1.6,Timed final
41,Parker,Lane,Parker Lane,men,2011-11-30,Aelthoria,Thalindra Athletics Club,Local_3,2025-03-18,100m,U15,6,12.13,-1.3,Timed final
42,Ashton,Wells,Ashton Wells,men,2012-06-19,Aelthoria,Thalindra Athletics Club,Local_3,2025-03-18,100m,U15,6,12.8,-1.3,Timed final
43,Colton,Pierce,Colton Pierce,men,2013-07-25,Aelthoria,Eldrin Athletics Club,Local_3,2025-03-18,100m,U15,6,13.1,-1.3,Timed final
44,Gideon,Knox,Gideon Knox,men,2013-10-05,Aelthoria,Lumora Athletics Club,Local_3,2025-03-18,100m,U15,6,12.18,-1.3,Timed final
45,Jaxon,Miles,Jaxon Miles,men,2014-05-21,Aelthoria,Lumora Athletics Club,Local_3,2025-03-18,100m,U15,6,12.85,-1.3,Timed final
46,Landon,Shaw,Landon Shaw,men,2013-03-09,Aelthoria,Lumora Athletics Club,Local_3,2025-03-18,100m,U15,6,13.15,-1.3,Timed final
47,Sawyer,Dean,Sawyer Dean,men,2014-02-15,Aelthoria,Vyrnwood Athletics Club,Local_3,2025-03-18,100m,U15,6,12.53,-1.3,Timed final
48,Tanner,Ford,Tanner Ford,men,2012-09-18,Aelthoria,Eldrin Athletics Club,Local_3,2025-03-18,100m,U15,6,12.05,-1.3,Timed final
49,Eli,Parker,Eli Parker,men,2014-07-03,Aelthoria,Thalindra Athletics Club,Local_3,2025-03-18,100m,U15,7,12.43,-1.9,Timed final
50,Jace,Riley,Jace Riley,men,2013-05-29,Aelthoria,Eldrin Athletics Club,Local_3,2025-03-18,100m,U15,7,13.1,-1.9,Timed final
51,Nash,Warren,Nash Warren,men,2013-11-01,Aelthoria,Thalindra Athletics Club,Local_3,2025-03-18,100m,U15,7,12.55,-1.9,Timed final
52,Reid,John,Reid John,men,2014-04-19,Aelthoria,Sylvara Athletics Club,Local_3,2025-03-18,100m,U15,7,13.15,-1.9,Timed final
53,Adrian,Holt,Adrian Holt,men,2008-05-12,Aelthoria,Vyrnwood Athletics Club,Local_3,2025-03-18,100m,U18,1,11.08,-1.4,Timed final
54,Corbin,Nash,Corbin Nash,men,2008-07-09,Aelthoria,Vyrnwood Athletics Club,Local_3,2025-03-18,100m,U18,1,11.75,-1.4,Timed final
55,Samuel,Jet,Samuel Jet,men,2008-03-25,Aelthoria,Sylvara Athletics Club,Local_3,2025-03-18,100m,U18,1,11.38,-1.4,Timed final
56,Wesley,Grey,Wesley Grey,men,2008-06-30,Aelthoria,Vyrnwood Athletics Club,Local_3,2025-03-18,100m,U18,1,12.15,-1.4,Timed final
57,Eli,Vortex,Eli Vortex,men,2009-04-22,Aelthoria,Thalindra Athletics Club,Local_3,2025-03-18,100m,U18,1,11.78,-1.4,Timed final
58,Gideon,Shaw,Gideon Shaw,men,2008-05-11,Aelthoria,Lumora Athletics Club,Local_3,2025-03-18,100m,U18,1,11.65,-1.4,Timed final
59,Tucker,Ford,Tucker Ford,men,2009-01-31,Aelthoria,Eldrin Athletics Club,Local_3,2025-03-18,100m,U18,1,12.78,-1.4,Timed final
60,Ivan,Locke,Ivan Locke,men,2008-01-08,Aelthoria,Lumora Athletics Club,Local_3,2025-03-18,100m,U18,1,11.5,-1.4,Timed final
61,Holden,Kane,Holden Kane,men,2009-07-25,Aelthoria,Thalindra Athletics Club,Local_3,2025-03-18,100m,U18,2,12.5,-1.9,Timed final
62,Jasper,Milo,Jasper Milo,men,2009-04-14,Aelthoria,Sylvara Athletics Club,Local_3,2025-03-18,100m,U18,2,11.28,-1.9,Timed final
63,Jonah,Wade,Jonah Wade,men,2008-09-08,Aelthoria,Thalindra Athletics Club,Local_3,2025-03-18,100m,U18,2,11.65,-1.9,Timed final
64,Tyson,Bolt,Tyson Bolt,men,2008-02-10,Aelthoria,Thalindra Athletics Club,Local_3,2025-03-18,100m,U18,2,11.75,-1.9,Timed final
65,Owen,Sprint,Owen Sprint,men,2008-08-30,Aelthoria,Eldrin Athletics Club,Local_3,2025-03-18,100m,U18,2,11.38,-1.9,Timed final
66,Lennox,Owen,Lennox Owen,men,2008-06-05,Aelthoria,Thalindra Athletics Club,Local_3,2025-03-18,100m,U18,2,11.95,-1.9,Timed final
67,Jacob,Surge,Jacob Surge,men,2009-09-12,Aelthoria,Vyrnwood Athletics Club,Local_3,2025-03-18,100m,U18,2,11.45,-1.9,Timed final
68,Xavier,Holt,Xavier Holt,men,2009-01-15,Aelthoria,Vyrnwood Athletics Club,Local_3,2025-03-18,100m,U18,2,12.3,-1.9,Timed final
69,Harley,Tate,Harley Tate,men,2009-06-29,Aelthoria,Thalindra Athletics Club,Local_3,2025-03-18,100m,U18,3,12.5,-1.1,Timed final
70,Roman,Blair,Roman Blair,men,2008-12-14,Aelthoria,Eldrin Athletics Club,Local_3,2025-03-18,100m,U18,3,11.18,-1.1,Timed final
71,Ryan,Flash,Ryan Flash,men,2008-06-18,Aelthoria,Thalindra Athletics Club,Local_3,2025-03-18,100m,U18,3,11.75,-1.1,Timed final
